epoch (MJD),epoch (seconds TDB),x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
59130.25000,655408869.1826417446136475,81709.9033634887746302,421294.4197461103321984,145959.8471901105367579,-0.9894869984383992,-0.0526206099161153,0.2624021112569889
59130.50000,655430469.1826417446136475,60142.5162991420656908,419565.6650482076220214,151507.6548248799517751,-1.0073013208953621,-0.1076844131798631,0.2510217746113271
59130.75000,655452069.1826417446136475,38203.0234880091375089,416632.0887376824975945,156791.9770856020040810,-1.0239295978605414,-0.1641876318717514,0.2379718887977601
59131.00000,655473669.1826417446136475,15917.8532542259745242,412461.9870577532565221,161774.4462838344916236,-1.0392941112489076,-0.2221868490543137,0.2230321963887405
59131.25000,655495269.1826417446136475,-6684.6912479727370737,407022.4514394186553545,166411.4583415381493978,-1.0532980375313110,-0.2817365354270583,0.2059362161661154
59131.50000,655516869.1826417446136475,-29573.9466522114926192,400279.4538276212988421,170653.0407200680056121,-1.0658181329043894,-0.3428850021640602,0.1863583280043794
59131.75000,655538469.1826417446136475,-52716.2012583927280502,392198.0489113838993944,174441.4046577886329032,-1.0766929227886832,-0.4056673419484180,0.1638973943480470
59132.00000,655560069.1826417446136475,-76073.6804760732484283,382742.7804526193067431,177709.1049835250014439,-1.0857037510300136,-0.4700931090547394,0.1380568664861831
59132.25000,655581669.1826417446136475,-99603.0120721111597959,371878.4427020876319148,180376.7415174852649216,-1.0925447999614251,-0.5361249673758524,0.1082226222449294
59132.50000,655603269.1826417446136475,-123252.8786203982745064,359571.4524562670267187,182350.1917355255282018,-1.0967768428078797,-0.6036422653047164,0.0736428472905351
59132.75000,655624869.1826417446136475,-146960.4423271847481374,345792.2483211747021414,183517.5191204626753461,-1.0977589194182831,-0.6723806211366863,0.0334207154298954
59133.00000,655646469.1826417446136475,-170646.0215900346520357,330519.3536836110870354,183746.0521191623702180,-1.0945548412631043,-0.7418364101088386,-0.0134573072514098
59133.25000,655668069.1826417446136475,-194205.5338772476534359,313745.9655444214004092,182880.8160610462655313,-1.0858230563126987,-0.8111278168534490,-0.0680156175637222
59133.50000,655689669.1826417446136475,-217500.6848161046218593,295489.9593067356618121,180746.6413847800286021,-1.0697283617572928,-0.8788219300158692,-0.1310432762259189
59133.75000,655711269.1826417446136475,-240348.2691165122960228,275807.5395597905153409,177157.6843213990214281,-1.0439692540090135,-0.9427858847700338,-0.2026471960770891
59134.00000,655732869.1826417446136475,-262512.6637058232445270,254808.6545745821495075,171938.6990668543148786,-1.0060742207102411,-1.0002036067927491,-0.2816291368486178
59134.25000,655754469.1826417446136475,-283708.8828512775944546,232668.4240065737103578,164959.7049171856779139,-0.9540912773517684,-1.0479604354754688,-0.3649347788444693
